# manufacturer|family|model|seriesName|slug|granularity|status|summary|applications|materials|surfaceAreaM2|flowMinM3h|flowMaxM3h|powerMinKw|powerMaxKw|temperatureMinC|temperatureMaxC|pressureMinBar|pressureMaxBar|widthMm|heightMm|depthMm|massKg|sourceUrl|sourceTitle|sourceCheckedOn|measurementBasis|facts|pressureCurve
Danfoss|PLATE|B3-113-110-3.0-HDQ (111B0321)|B3|danfoss-b3-113-110-111b0321|EXACT_CONFIGURATION|PUBLISHED|Паяный пластинчатый теплообменник B3-113 со 110 пластинами и распределителем.|HEATING;COOLING;REFRIGERATION;HVAC|AISI_316L;COPPER|11.6|6.96|117|139|1044|-196|200|0|30|293.264|776.823|273.8|49|https://designcenter.danfoss.com/products/climate-solutions-for-cooling/heat-exchangers/brazed-plate-heat-exchangers/fishbone-brazed-plate-heat-exchangers/bphe-b3/p/111B0321|Danfoss 111B0321|2026-07-12|Данные относятся к конкретному SKU официального Design Center. [DEMO] Fields generated for interface and filter testing: surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,widthMm,heightMm,depthMm,pressureCurve. Not for thermal sizing.|plates=110 пластин;platePattern=H;feature=С распределителем;approval=PED;dataOrigin=OFFICIAL+MOCK;mockFields=surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,widthMm,heightMm,depthMm,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-196:30,200:21
Danfoss|PLATE|B3-113-90-4.5-HDQ (111B0320)|B3|danfoss-b3-113-90-111b0320|EXACT_CONFIGURATION|PUBLISHED|Паяный пластинчатый теплообменник B3-113 с 90 пластинами и распределителем.|HEATING;COOLING;REFRIGERATION;HVAC|AISI_316L;COPPER|9.4|5.64|95|113|846|-196|200|0|45|277.967|729.232|234.2|43.5|https://designcenter.danfoss.com/products/climate-solutions-for-cooling/heat-exchangers/brazed-plate-heat-exchangers/fishbone-brazed-plate-heat-exchangers/bphe-b3/p/111B0320|Danfoss 111B0320|2026-07-12|Данные относятся к конкретному SKU официального Design Center. [DEMO] Fields generated for interface and filter testing: surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,widthMm,heightMm,depthMm,pressureCurve. Not for thermal sizing.|plates=90 пластин;platePattern=H;feature=С распределителем;approval=PED;dataOrigin=OFFICIAL+MOCK;mockFields=surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,widthMm,heightMm,depthMm,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-196:45,200:31
Danfoss|PLATE|B3-095B-101 (111B0103)|B3|danfoss-b3-095b-101-111b0103|EXACT_CONFIGURATION|PUBLISHED|Паяный пластинчатый теплообменник B3-095B со 101 пластиной.|HEATING;COOLING;REFRIGERATION;HVAC|AISI_316L;COPPER|7.8|4.68|79|94|702|-196|200|0|30|265.678|690.999|205.4|83|https://designcenter.danfoss.com/products/climate-solutions-for-cooling/heat-exchangers/brazed-plate-heat-exchangers/fishbone-brazed-plate-heat-exchangers/bphe-b3/p/111B0103|Danfoss 111B0103|2026-07-12|Температуры и давление относятся к конкретному SKU; не опубликованные размеры оставлены пустыми. [DEMO] Fields generated for interface and filter testing: surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve. Not for thermal sizing.|plates=101 пластина;function=Многофункциональный;approval=PED;dataOrigin=OFFICIAL+MOCK;mockFields=surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-196:30,200:21
Danfoss|PLATE|B3-027-14 (111B1131)|B3|danfoss-b3-027-14-111b1131|EXACT_CONFIGURATION|PUBLISHED|Паяный пластинчатый теплообменник B3-027 с 14 пластинами.|HEATING;COOLING;REFRIGERATION;HVAC|AISI_316L;COPPER|0.45|0.27|6|5|40|-196|200|0|30|170.187|393.915|73.1|9.5|https://designcenter.danfoss.com/products/climate-solutions-for-cooling/heat-exchangers/brazed-plate-heat-exchangers/fishbone-brazed-plate-heat-exchangers/bphe-b3/p/111B1131|Danfoss 111B1131|2026-07-12|Температуры и давление относятся к конкретному SKU; не опубликованные размеры оставлены пустыми. [DEMO] Fields generated for interface and filter testing: surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve. Not for thermal sizing.|plates=14 пластин;function=Многофункциональный;approval=PED;dataOrigin=OFFICIAL+MOCK;mockFields=surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-196:30,200:21
Kelvion|PLATE|NX 25M|NX|kelvion-nx-25m|STANDARD_MODEL|PUBLISHED|Разборный пластинчатый теплообменник семейства NX; параметры зависят от пакета пластин.|HEATING;COOLING;HVAC;INDUSTRIAL|STAINLESS_STEEL|3.2|1.92|33|38|288|-40|180|0|31|220.498|550.44|122.6|37|https://d2xjeen3zaup4u.cloudfront.net/asset/767398133948/document_ci4uo8nkip76dc6p2dgrgho52j/PF_PHE_GPHE_NXPlate_EN.pdf|Kelvion NX plate leaflet|2026-07-12|Официальный лист описывает модель, но рабочие параметры задаются конфигурацией. [DEMO] Fields generated for interface and filter testing: surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve. Not for thermal sizing.|construction=Разборная пластинчатая конструкция;configuration=Число и рисунок пластин подбираются по режиму;dataOrigin=OFFICIAL+MOCK;mockFields=surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-40:31,180:22
Kelvion|PLATE|NX 50M|NX|kelvion-nx-50m|STANDARD_MODEL|PUBLISHED|Разборный пластинчатый теплообменник семейства NX; параметры зависят от пакета пластин.|HEATING;COOLING;HVAC;INDUSTRIAL|STAINLESS_STEEL|6.5|3.9|66|78|585|-40|180|0|31|254.728|656.931|182|70|https://d2xjeen3zaup4u.cloudfront.net/asset/767398133948/document_ci4uo8nkip76dc6p2dgrgho52j/PF_PHE_GPHE_NXPlate_EN.pdf|Kelvion NX plate leaflet|2026-07-12|Официальный лист описывает модель, но рабочие параметры задаются конфигурацией. [DEMO] Fields generated for interface and filter testing: surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve. Not for thermal sizing.|construction=Разборная пластинчатая конструкция;configuration=Число и рисунок пластин подбираются по режиму;dataOrigin=OFFICIAL+MOCK;mockFields=surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-40:31,180:22
Kelvion|PLATE|NX 100X|NX|kelvion-nx-100x|STANDARD_MODEL|PUBLISHED|Разборный пластинчатый теплообменник семейства NX; параметры зависят от пакета пластин.|HEATING;COOLING;HVAC;INDUSTRIAL|STAINLESS_STEEL|12|7.2|121|144|1080|-40|180|0|31|295.885|784.974|281|125|https://d2xjeen3zaup4u.cloudfront.net/asset/767398133948/document_ci4uo8nkip76dc6p2dgrgho52j/PF_PHE_GPHE_NXPlate_EN.pdf|Kelvion NX plate leaflet|2026-07-12|Официальный лист описывает модель, но рабочие параметры задаются конфигурацией. [DEMO] Fields generated for interface and filter testing: surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve. Not for thermal sizing.|construction=Разборная пластинчатая конструкция;configuration=Число и рисунок пластин подбираются по режиму;dataOrigin=OFFICIAL+MOCK;mockFields=surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-40:31,180:22
Kelvion|PLATE|NX 150L|NX|kelvion-nx-150l|STANDARD_MODEL|PUBLISHED|Разборный пластинчатый теплообменник семейства NX; параметры зависят от пакета пластин.|HEATING;COOLING;HVAC;INDUSTRIAL|STAINLESS_STEEL|18|10.8|181|216|1620|-40|180|0|31|330.919|893.97|389|185|https://d2xjeen3zaup4u.cloudfront.net/asset/767398133948/document_ci4uo8nkip76dc6p2dgrgho52j/PF_PHE_GPHE_NXPlate_EN.pdf|Kelvion NX plate leaflet|2026-07-12|Официальный лист описывает модель, но рабочие параметры задаются конфигурацией. [DEMO] Fields generated for interface and filter testing: surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve. Not for thermal sizing.|construction=Разборная пластинчатая конструкция;configuration=Число и рисунок пластин подбираются по режиму;dataOrigin=OFFICIAL+MOCK;mockFields=surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-40:31,180:22
Kelvion|PLATE|NX 250L|NX|kelvion-nx-250l|STANDARD_MODEL|PUBLISHED|Разборный пластинчатый теплообменник семейства NX; параметры зависят от пакета пластин.|HEATING;COOLING;HVAC;INDUSTRIAL|STAINLESS_STEEL|28|16.8|281|336|2520|-40|180|0|31|378.118|1040.81|569|285|https://d2xjeen3zaup4u.cloudfront.net/asset/767398133948/document_ci4uo8nkip76dc6p2dgrgho52j/PF_PHE_GPHE_NXPlate_EN.pdf|Kelvion NX plate leaflet|2026-07-12|Официальный лист описывает модель, но рабочие параметры задаются конфигурацией. [DEMO] Fields generated for interface and filter testing: surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve. Not for thermal sizing.|construction=Разборная пластинчатая конструкция;configuration=Число и рисунок пластин подбираются по режиму;dataOrigin=OFFICIAL+MOCK;mockFields=surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-40:31,180:22
Kelvion|PLATE|NX 400X|NX|kelvion-nx-400x|STANDARD_MODEL|PUBLISHED|Разборный пластинчатый теплообменник семейства NX; параметры зависят от пакета пластин.|HEATING;COOLING;HVAC;INDUSTRIAL|STAINLESS_STEEL|42|25.2|421|504|3780|-40|180|0|31|431.633|1207.304|821|425|https://d2xjeen3zaup4u.cloudfront.net/asset/767398133948/document_ci4uo8nkip76dc6p2dgrgho52j/PF_PHE_GPHE_NXPlate_EN.pdf|Kelvion NX plate leaflet|2026-07-12|Официальный лист описывает модель, но рабочие параметры задаются конфигурацией. [DEMO] Fields generated for interface and filter testing: surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve. Not for thermal sizing.|construction=Разборная пластинчатая конструкция;configuration=Число и рисунок пластин подбираются по режиму;dataOrigin=OFFICIAL+MOCK;mockFields=surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-40:31,180:22
SWEP|PLATE|B5T All-Stainless|All-Stainless|swep-b5t-all-stainless|SERIES|PUBLISHED|Паяная пластинчатая серия полностью из нержавеющей стали для сред, несовместимых с медью.|HEATING;COOLING;INDUSTRIAL|STAINLESS_STEEL|0.35|0.21|4|5|31|-40|350|0|43|166.622|382.825|71.3|8.5|https://www.swepgroup.com/challenge-efficiency/technology/swep-all-stainless|SWEP All-Stainless technology|2026-07-12|Страница подтверждает технологию и назначение; числовые параметры конкретной конфигурации не заданы. [DEMO] Fields generated for interface and filter testing: surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve. Not for thermal sizing.|brazing=Нержавеющий припой;feature=Не содержит меди;dataOrigin=OFFICIAL+MOCK;mockFields=surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-40:43,350:30
SWEP|PLATE|B10TS All-Stainless|All-Stainless|swep-b10ts-all-stainless|SERIES|PUBLISHED|Паяная пластинчатая серия полностью из нержавеющей стали для сред, несовместимых с медью.|HEATING;COOLING;INDUSTRIAL|STAINLESS_STEEL|0.8|0.48|9|10|72|-40|350|0|43|180.249|425.22|79.4|13|https://www.swepgroup.com/challenge-efficiency/technology/swep-all-stainless|SWEP All-Stainless technology|2026-07-12|Страница подтверждает модель в линейке All-Stainless; параметры зависят от числа пластин и исполнения. [DEMO] Fields generated for interface and filter testing: surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve. Not for thermal sizing.|brazing=Нержавеющий припой;feature=Не содержит меди;temperatureFact=Максимальная температура серии до 350 °C;dataOrigin=OFFICIAL+MOCK;mockFields=surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-40:43,350:30
SWEP|PLATE|B15T All-Stainless|All-Stainless|swep-b15t-all-stainless|SERIES|PUBLISHED|Паяная пластинчатая серия полностью из нержавеющей стали для сред, несовместимых с медью.|HEATING;COOLING;INDUSTRIAL|STAINLESS_STEEL|1.4|0.84|15|17|126|-40|350|0|43|193.245|465.65|90.2|19|https://www.swepgroup.com/challenge-efficiency/technology/swep-all-stainless|SWEP All-Stainless technology|2026-07-12|Страница подтверждает модель в линейке All-Stainless; параметры зависят от числа пластин и исполнения. [DEMO] Fields generated for interface and filter testing: surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve. Not for thermal sizing.|brazing=Нержавеющий припой;feature=Не содержит меди;temperatureFact=Максимальная температура серии до 350 °C;dataOrigin=OFFICIAL+MOCK;mockFields=surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve;mockMethod=Deterministic representative values by exchanger family|-40:43,350:30
