"slug","manufacturer","model","family","granularity","completenessPercent","mockFields","sourceUrl"
"kelvion-nx-400x","Kelvion","NX 400X","PLATE","STANDARD_MODEL","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://d2xjeen3zaup4u.cloudfront.net/asset/767398133948/document_ci4uo8nkip76dc6p2dgrgho52j/PF_PHE_GPHE_NXPlate_EN.pdf"
"swep-b5t-all-stainless","SWEP","B5T All-Stainless","PLATE","SERIES","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://www.swepgroup.com/challenge-efficiency/technology/swep-all-stainless"
"swep-b10ts-all-stainless","SWEP","B10TS All-Stainless","PLATE","SERIES","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://www.swepgroup.com/challenge-efficiency/technology/swep-all-stainless"
"swep-b15t-all-stainless","SWEP","B15T All-Stainless","PLATE","SERIES","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://www.swepgroup.com/challenge-efficiency/technology/swep-all-stainless"
"swep-b80s-all-stainless","SWEP","B80S All-Stainless","PLATE","SERIES","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://www.swepgroup.com/challenge-efficiency/technology/swep-all-stainless"
"basco-type-500","Basco","Type 500","SHELL_AND_TUBE","SERIES","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,pressureMinBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://www.apiheattransfer.com/product/type-500/"
"basco-bw","Basco","BW","SHELL_AND_TUBE","SERIES","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://www.apiheattransfer.com/product/u-tube/"
"basco-bws","Basco","BWS","SHELL_AND_TUBE","SERIES","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://www.apiheattransfer.com/product/u-tube/"
"basco-type-op","Basco","Type OP","SHELL_AND_TUBE","SERIES","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://www.apiheattransfer.com/product/type-op/"
"basco-type-ht","Basco","Type HT","SHELL_AND_TUBE","SERIES","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://www.apiheattransfer.com/product/type-ht-and-aht-hub/"
"basco-type-aht","Basco","Type AHT","SHELL_AND_TUBE","SERIES","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://www.apiheattransfer.com/product/type-ht-and-aht-hub/"
"kelvion-lf-drycooler","Kelvion","LF Drycooler","AIR_COOLED","SERIES","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://www.kelvion.com/products/heat-rejection-heat-recovery-solutions/flatbed-condensers-/-drycooler"
"kelvion-lf-s-drycooler","Kelvion","LF-S Drycooler","AIR_COOLED","SERIES","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://www.kelvion.com/products/heat-rejection-heat-recovery-solutions/flatbed-condensers-/-drycooler"
"kelvion-rf-s-condenser","Kelvion","RF-S Condenser","AIR_COOLED","SERIES","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://www.kelvion.com/products/heat-rejection-heat-recovery-solutions/flatbed-condensers-/-drycooler"
"kelvion-gf-s-gas-cooler","Kelvion","GF-S Gas Cooler","AIR_COOLED","SERIES","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://www.kelvion.com/products/heat-rejection-heat-recovery-solutions/flatbed-condensers-/-drycooler"
"kelvion-lv-m-drycooler","Kelvion","LV-M Drycooler","AIR_COOLED","SERIES","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://www.kelvion.com/products/heat-rejection-heat-recovery-solutions/v-shape-condensers-/-drycooler"
"kelvion-rv-t-condenser","Kelvion","RV-T Condenser","AIR_COOLED","SERIES","100","surfaceAreaM2,flowMinM3h,flowMaxM3h,temperatureMinC,temperatureMaxC,pressureMinBar,pressureMaxBar,widthMm,heightMm,depthMm,massKg,pressureCurve","https://www.kelvion.com/products/heat-rejection-heat-recovery-solutions/v-shape-condensers-/-drycooler"
"alfa-laval-she-ltl-2s","Alfa Laval","SHE LTL 2S","SPIRAL","STANDARD_MODEL","100","flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,depthMm","https://assets.alfalaval.com/documents/pc168354a/alfa-laval-product-leaflet-she-ltl-en.pdf"
"alfa-laval-she-ltl-4l","Alfa Laval","SHE LTL 4L","SPIRAL","STANDARD_MODEL","100","flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,depthMm","https://assets.alfalaval.com/documents/pc168354a/alfa-laval-product-leaflet-she-ltl-en.pdf"
"alfa-laval-she-ltl-8l","Alfa Laval","SHE LTL 8L","SPIRAL","STANDARD_MODEL","100","flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,depthMm","https://assets.alfalaval.com/documents/pc168354a/alfa-laval-product-leaflet-she-ltl-en.pdf"
"alfa-laval-she-ltl-30l","Alfa Laval","SHE LTL 30L","SPIRAL","STANDARD_MODEL","100","flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,depthMm","https://assets.alfalaval.com/documents/pc168354a/alfa-laval-product-leaflet-she-ltl-en.pdf"
"alfa-laval-she-cond-1s","Alfa Laval","SHE Cond 1S","SPIRAL","STANDARD_MODEL","100","flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,depthMm","https://assets.alfalaval.com/documents/p36beedba/alfa-laval-product-leaflet-she-cond-en.pdf"
"alfa-laval-she-cond-14l","Alfa Laval","SHE Cond 14L","SPIRAL","STANDARD_MODEL","100","flowMinM3h,flowMaxM3h,powerMinKw,powerMaxKw,pressureMinBar,depthMm","https://assets.alfalaval.com/documents/p36beedba/alfa-laval-product-leaflet-she-cond-en.pdf"
